WDS,s,M,|U*g|,Planets
(Gaia DR3 2005884249925303168),3572,0.7312,3.354,No
22159+5440,1685,1.132,24.45,No
22211+3744,79.94,0.9753,542.5,No
22234+3228,19.15,0.8715,1749,No
22263+0301,271.4,0.502,35.29,No
22280+5742,8.228,0.5051,1306,No
22300+4851,78.49,0.5873,186.7,No
22334-0937,36.58,0.7622,700.4,No
22388-2037,0.03937,0.7846,115.8,No
22441+4029,403.6,0.9779,104.5,No
22458+0141,75.8,0.6247,126.5,No
22560+0546,425.7,1.157,138.7,No
22577+3719,59.05,0.5756,225.8,No
23100+5507,101,0.807,177.4,No
(G 28-46),4.973,0.8119,5832,No
23142-1938,152.1,0.91,207.9,No
(G 29-19),36820,0.7386,0.648,No
23194+7900,206.4,1.535,329.1,No
23389+2101,374.3,1.09,138.1,No
23401+6041,61.18,0.8319,488.4,No
23415+2002,128.4,1.022,350.2,No
([R78b] 377),93.62,0.9531,380,No
23506+0957,23.04,0.7639,1041,No
(G 30-26),59.23,0.7133,378.8,No
23536+1207,215.9,1.303,342,No
23570+2305,232.7,1.21,273.2,No
23582-1725,69.38,0.9642,591,No
23590+2052,28.88,0.9922,1493,No
